[2024-12-03 11:05:04,876] INFO in _internal: 127.0.0.1 - - [03/Dec/2024 11:05:04] "GET /static/css/style.css HTTP/1.1" 200 -
[2024-12-03 11:05:04,879] INFO in _internal: 127.0.0.1 - - [03/Dec/2024 11:05:04] "GET /bootstrap/static/umd/popper.min.js HTTP/1.1" 200 -
[2024-12-03 11:05:04,895] INFO in _internal: 127.0.0.1 - - [03/Dec/2024 11:05:04] "GET /bootstrap/static/css/bootstrap.min.css.map HTTP/1.1" 200 -
[2024-12-03 11:05:04,895] INFO in _internal: 127.0.0.1 - - [03/Dec/2024 11:05:04] "GET /bootstrap/static/umd/popper.min.js.map HTTP/1.1" 200 -
[2024-12-03 11:05:04,896] INFO in _internal: 127.0.0.1 - - [03/Dec/2024 11:05:04] "GET /bootstrap/static/js/bootstrap.min.js HTTP/1.1" 200 -
[2024-12-03 11:05:04,929] INFO in _internal: 127.0.0.1 - - [03/Dec/2024 11:05:04] "GET /static/js/logs.js HTTP/1.1" 200 -
[2024-12-03 11:05:04,930] INFO in _internal: 127.0.0.1 - - [03/Dec/2024 11:05:04] "GET /bootstrap/static/js/bootstrap.min.js.map HTTP/1.1" 200 -
[2024-12-03 11:05:06,944] INFO in _internal: 127.0.0.1 - - [03/Dec/2024 11:05:06] "GET /hosts HTTP/1.1" 200 -
[2024-12-03 11:05:07,168] INFO in _internal: 127.0.0.1 - - [03/Dec/2024 11:05:07] "GET /bootstrap/static/css/bootstrap.min.css HTTP/1.1" 200 -
[2024-12-03 11:05:07,169] INFO in _internal: 127.0.0.1 - - [03/Dec/2024 11:05:07] "GET /static/css/style.css HTTP/1.1" 200 -
[2024-12-03 11:05:07,174] INFO in _internal: 127.0.0.1 - - [03/Dec/2024 11:05:07] "GET /bootstrap/static/umd/popper.min.js HTTP/1.1" 200 -
[2024-12-03 11:05:07,186] INFO in _internal: 127.0.0.1 - - [03/Dec/2024 11:05:07] "GET /bootstrap/static/css/bootstrap.min.css.map HTTP/1.1" 200 -
[2024-12-03 11:05:07,194] INFO in _internal: 127.0.0.1 - - [03/Dec/2024 11:05:07] "GET /bootstrap/static/umd/popper.min.js.map HTTP/1.1" 200 -
[2024-12-03 11:05:07,197] INFO in _internal: 127.0.0.1 - - [03/Dec/2024 11:05:07] "GET /bootstrap/static/js/bootstrap.min.js HTTP/1.1" 200 -
